Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,520,Research & Development,29,3,Life Sciences,1,289,1,Female,61,4,2,Manager,4,Single,8835,13151,8,Y,No,23,3,3,80,0,17,1,1,15,6,13,15
39,Yes,Non-Travel,173,Research & Development,11,4,Life Sciences,1,290,3,Male,50,2,4,Laboratory Technician,2,Married,13143,11308,7,Y,Yes,23,3,1,80,1,35,3,3,35,18,15,0
39,No,Travel_Rarely,1279,Research & Development,17,4,Marketing,1,291,4,Male,97,1,5,Laboratory Technician,3,Single,5063,24861,2,Y,No,18,3,4,80,3,34,3,2,34,4,3,12
47,No,Travel_Rarely,1378,Research & Development,4,4,Medical,1,292,4,Female,73,3,2,Healthcare Representative,2,Married,17099,13416,4,Y,No,11,3,2,80,1,28,2,2,8,8,8,5
55,No,Travel_Rarely,270,Sales,26,5,Life Sciences,1,293,1,Male,95,3,2,Sales Executive,1,Single,8690,17980,2,Y,No,16,3,2,80,1,18,4,4,5,0,0,5
55,Yes,Travel_Rarely,269,Research & Development,12,2,Marketing,1,294,4,Male,43,1,2,Manufacturing Director,3,Single,16578,13130,5,Y,No,12,3,2,80,1,4,6,4,0,0,0,0
25,No,Travel_Rarely,971,Research & Development,10,2,Life Sciences,1,295,4,Female,44,3,3,Research Director,3,Married,7517,16154,4,Y,No,11,3,4,80,2,40,1,3,13,5,11,11
44,No,Travel_Rarely,421,Research & Development,6,5,Medical,1,296,3,Female,49,4,4,Healthcare Representative,4,Single,17617,19967,1,Y,No,22,3,1,80,3,23,3,1,23,12,9,14
44,No,Travel_Rarely,555,Sales,25,1,Medical,1,297,1,Female,63,3,4,Sales Executive,4,Married,11442,15701,9,Y,No,20,4,2,80,0,14,4,4,9,9,9,4
51,No,Travel_Rarely,1043,Sales,1,4,Technical Degree,1,298,3,Female,65,1,2,Research Scientist,4,Divorced,13353,4428,7,Y,No,17,3,1,80,2,25,4,2,17,8,8,1
38,No,Travel_Rarely,889,Research & Development,7,4,Life Sciences,1,299,1,Male,38,3,3,Manager,4,Married,12897,26168,5,Y,No,16,4,1,80,3,23,3,4,8,0,8,8
47,No,Travel_Rarely,712,Research & Development,26,1,Other,1,300,3,Female,100,1,2,Research Director,1,Married,4836,18190,2,Y,No,15,3,4,80,3,26,2,1,26,11,10,8
50,No,Travel_Rarely,1278,Research & Development,27,3,Technical Degree,1,301,3,Male,59,1,4,Research Scientist,4,Divorced,18796,21867,0,Y,No,25,3,1,80,2,19,0,3,18,0,3,0
45,No,Travel_Rarely,988,Sales,21,3,Life Sciences,1,302,2,Female,92,3,5,Manager,2,Divorced,17266,2296,4,Y,Yes,15,3,1,80,1,35,3,1,35,3,13,12
50,No,Travel_Rarely,448,Research & Development,28,2,Life Sciences,1,303,4,Female,64,1,3,Sales Representative,3,Divorced,17802,2324,1,Y,No,19,3,4,80,3,27,2,4,2,2,2,2
22,Yes,Travel_Rarely,1296,Sales,16,5,Medical,1,304,1,Female,42,1,3,Sales Executive,1,Single,2925,25525,1,Y,Yes,19,3,3,80,0,37,1,3,37,4,14,1
36,No,Travel_Rarely,109,Sales,24,2,Human Resources,1,305,4,Female,75,2,2,Manager,1,Married,3868,13414,8,Y,No,22,3,2,80,2,10,2,3,8,4,2,8
21,No,Non-Travel,839,Research & Development,14,3,Other,1,306,2,Female,85,4,5,Research Scientist,3,Divorced,8081,13777,9,Y,Yes,22,3,2,80,3,33,4,1,9,6,9,5
52,No,Travel_Rarely,1388,Sales,23,1,Medical,1,307,1,Male,38,1,4,Laboratory Technician,3,Divorced,16532,5056,6,Y,No,16,4,1,80,0,24,6,4,8,8,8,5
34,No,Travel_Rarely,1370,Sales,20,2,Other,1,308,2,Female,65,4,1,Laboratory Technician,3,Married,3060,4421,5,Y,No,23,3,3,80,0,39,6,1,16,11,5,16
45,Yes,Travel_Rarely,766,Research & Development,20,4,Life Sciences,1,309,4,Male,32,2,4,Manufacturing Director,1,Single,9223,4878,0,Y,Yes,25,3,4,80,0,37,1,4,37,14,3,8
47,No,Travel_Rarely,645,Sales,6,4,Life Sciences,1,310,3,Male,48,2,4,Healthcare Representative,2,Divorced,3977,15579,9,Y,No,13,3,1,80,0,19,6,4,19,2,4,14
46,No,Travel_Rarely,228,Sales,22,1,Other,1,311,2,Male,57,2,5,Laboratory Technician,2,Married,9945,2897,1,Y,No,17,3,4,80,2,10,1,2,6,6,6,6
23,No,Travel_Rarely,700,Sales,25,3,Human Resources,1,312,2,Male,52,2,3,Sales Representative,3,Married,1610,14647,6,Y,Yes,14,4,2,80,0,8,0,3,3,3,3,3
52,No,Travel_Rarely,704,Sales,28,4,Medical,1,313,3,Female,36,4,4,Manager,1,Married,16460,16676,2,Y,No,15,3,4,80,2,10,0,4,9,9,9,4
58,No,Travel_Rarely,426,Sales,5,4,Technical Degree,1,314,4,Female,43,3,3,Healthcare Representative,4,Married,14266,24244,1,Y,No,17,4,2,80,0,36,3,1,20,14,6,0
54,No,Non-Travel,1079,Research & Development,24,5,Other,1,315,2,Male,75,3,5,Laboratory Technician,1,Single,6283,22201,5,Y,Yes,25,4,4,80,0,40,6,1,13,13,8,6
41,No,Travel_Frequently,503,Sales,21,2,Human Resources,1,316,4,Male,44,4,5,Sales Executive,3,Married,19235,13187,7,Y,No,22,3,4,80,2,24,2,2,24,18,1,17
46,No,Travel_Rarely,728,Sales,18,3,Other,1,317,3,Male,96,1,2,Laboratory Technician,1,Divorced,11875,8490,7,Y,No,17,3,3,80,1,25,3,2,16,10,13,7
48,No,Travel_Rarely,1482,Research & Development,15,2,Human Resources,1,318,1,Female,44,4,1,Sales Representative,1,Married,13377,16904,1,Y,No,25,3,4,80,3,27,0,2,27,17,3,11
52,No,Travel_Frequently,817,Research & Development,6,3,Life Sciences,1,319,2,Male,80,1,5,Sales Executive,1,Married,9683,18653,5,Y,No,20,3,1,80,3,39,4,3,13,9,13,9
50,No,Travel_Rarely,1140,Research & Development,25,4,Other,1,320,4,Female,37,1,5,Human Resources,4,Divorced,16471,11730,4,Y,No,18,3,3,80,2,18,0,2,12,8,7,5
38,No,Travel_Rarely,373,Research & Development,29,5,Life Sciences,1,321,3,Female,98,3,3,Manager,3,Married,12512,17400,6,Y,No,11,3,1,80,0,33,2,3,33,2,15,15
49,No,Non-Travel,784,Research & Development,19,2,Other,1,322,3,Male,91,2,5,Healthcare Representative,3,Married,16633,14289,3,Y,No,15,3,4,80,2,40,4,2,40,0,3,17
40,No,Travel_Rarely,215,Research & Development,1,4,Medical,1,323,2,Female,80,3,4,Manufacturing Director,3,Married,15379,7785,1,Y,Yes,25,3,4,80,0,40,6,3,2,2,2,2
50,No,Travel_Rarely,960,Research & Development,1,3,Technical Degree,1,324,1,Female,92,3,2,Laboratory Technician,2,Single,6377,5626,9,Y,No,22,3,3,80,2,3,3,4,3,3,3,3
20,No,Non-Travel,792,Research & Development,13,2,Medical,1,325,2,Female,97,4,2,Healthcare Representative,2,Single,13576,18317,2,Y,No,19,3,2,80,3,14,3,2,14,2,2,6
35,No,Travel_Rarely,1214,Sales,3,2,Life Sciences,1,326,4,Male,45,4,4,Laboratory Technician,3,Married,4834,22827,8,Y,No,25,3,3,80,2,29,0,3,19,8,13,15
42,No,Travel_Rarely,1205,Sales,10,4,Life Sciences,1,327,3,Male,53,1,5,Manager,1,Divorced,11400,20021,9,Y,Yes,17,4,2,80,3,7,0,4,7,7,7,7
59,No,Travel_Rarely,423,Sales,21,2,Other,1,328,1,Female,35,4,1,Manufacturing Director,1,Married,10883,12440,7,Y,No,21,3,2,80,3,11,6,2,4,4,4,4
48,Yes,Travel_Frequently,1060,Research & Development,3,5,Other,1,329,4,Male,86,1,5,Healthcare Representative,3,Single,4617,15576,8,Y,Yes,22,3,4,80,3,23,5,4,1,0,1,1
20,Yes,Travel_Frequently,213,Research & Development,9,5,Life Sciences,1,330,2,Female,60,1,2,Manager,4,Married,7887,7550,4,Y,No,23,3,1,80,2,38,3,2,27,8,14,11
57,Yes,Travel_Frequently,1181,Research & Development,8,4,Other,1,331,3,Male,35,2,1,Sales Executive,4,Single,2027,5507,4,Y,No,12,3,3,80,1,21,6,1,21,2,11,14
41,No,Travel_Rarely,253,Research & Development,3,3,Other,1,332,2,Male,58,2,3,Sales Executive,1,Married,18704,9179,6,Y,No,11,4,3,80,2,29,3,3,8,8,8,7
49,Yes,Travel_Frequently,1389,Research & Development,25,4,Marketing,1,333,1,Male,96,3,3,Manager,1,Single,10619,22657,6,Y,No,18,3,4,80,2,38,1,1,27,4,11,6
39,No,Non-Travel,414,Sales,13,5,Life Sciences,1,334,1,Male,32,2,5,Research Scientist,2,Divorced,3509,11426,0,Y,No,19,4,4,80,1,19,2,3,0,0,0,0
40,No,Travel_Rarely,1164,Sales,6,1,Other,1,335,1,Male,57,1,5,Laboratory Technician,4,Single,3676,6901,4,Y,Yes,20,3,3,80,1,35,1,1,35,4,8,13
19,No,Non-Travel,204,Research & Development,13,1,Medical,1,336,1,Male,77,4,1,Laboratory Technician,1,Single,10587,9480,7,Y,No,15,4,3,80,3,4,1,2,1,1,1,1
44,Yes,Travel_Frequently,1316,Research & Development,23,2,Other,1,337,1,Male,39,2,1,Sales Executive,1,Married,6239,4034,6,Y,No,24,3,1,80,0,39,3,1,37,13,0,11
59,No,Travel_Rarely,1401,Research & Development,20,2,Other,1,338,2,Female,62,2,5,Sales Executive,3,Single,11264,2750,1,Y,No,21,4,4,80,0,25,5,2,25,11,13,13
19,No,Travel_Rarely,453,Research & Development,20,1,Other,1,339,1,Female,96,2,2,Manager,2,Married,5843,4597,7,Y,No,16,4,1,80,3,33,6,3,30,18,11,10
43,No,Travel_Rarely,1115,Sales,12,5,Technical Degree,1,340,1,Male,98,2,3,Manufacturing Director,4,Divorced,2555,19136,1,Y,Yes,25,3,4,80,2,40,6,2,40,8,14,5
34,No,Travel_Rarely,832,Human Resources,13,2,Life Sciences,1,341,3,Male,41,1,1,Laboratory Technician,4,Single,16059,13124,9,Y,No,12,4,4,80,0,18,2,1,18,6,14,2
57,No,Travel_Rarely,808,Research & Development,2,4,Life Sciences,1,342,1,Male,86,1,2,Research Director,2,Married,16058,15232,0,Y,No,21,3,1,80,2,30,3,4,30,15,11,5
50,No,Travel_Rarely,1379,Research & Development,21,4,Life Sciences,1,343,3,Male,73,3,5,Sales Executive,1,Divorced,19538,16695,2,Y,Yes,15,3,2,80,1,8,1,3,8,6,8,8
26,No,Travel_Frequently,750,Research & Development,24,5,Life Sciences,1,344,3,Male,42,4,4,Research Scientist,4,Married,19556,17740,2,Y,Yes,22,3,2,80,1,12,1,4,2,2,2,1
60,No,Non-Travel,923,Sales,23,2,Marketing,1,345,3,Male,53,3,1,Healthcare Representative,4,Divorced,16649,25516,5,Y,No,14,4,2,80,3,37,6,4,37,7,8,5
56,No,Travel_Frequently,1046,Sales,16,4,Technical Degree,1,346,2,Male,73,3,4,Healthcare Representative,4,Single,15293,12739,2,Y,No,18,3,4,80,2,34,6,4,5,5,4,5
46,No,Travel_Rarely,760,Research & Development,23,2,Other,1,347,2,Female,86,2,2,Research Scientist,3,Single,4432,16722,6,Y,No,18,3,1,80,3,27,3,4,6,2,6,3
59,Yes,Travel_Rarely,198,Research & Development,6,2,Life Sciences,1,348,4,Male,45,4,3,Research Director,2,Single,3341,26580,7,Y,No,24,3,2,80,0,40,0,4,40,1,13,13
43,No,Travel_Rarely,687,Research & Development,19,4,Medical,1,349,4,Female,50,2,2,Research Director,4,Single,7075,24503,2,Y,No,15,4,3,80,0,24,0,1,24,4,15,9
52,No,Travel_Rarely,381,Sales,21,1,Life Sciences,1,350,3,Male,80,1,3,Sales Executive,2,Married,19049,8592,8,Y,No,21,3,2,80,0,24,3,2,24,7,1,5
42,No,Travel_Frequently,502,Research & Development,13,4,Life Sciences,1,351,2,Female,50,3,2,Sales Executive,1,Single,7047,24826,0,Y,No,18,3,1,80,2,34,4,2,0,0,0,0
41,No,Non-Travel,1232,Sales,17,5,Life Sciences,1,352,1,Male,89,4,1,Manager,2,Married,9592,15883,2,Y,Yes,16,3,4,80,3,40,4,4,21,8,0,12
30,No,Travel_Rarely,799,Sales,23,3,Technical Degree,1,353,4,Male,80,1,1,Research Scientist,3,Single,6298,21519,2,Y,No,20,3,1,80,3,38,0,1,19,1,5,17
24,No,Non-Travel,298,Research & Development,9,4,Life Sciences,1,354,2,Male,50,3,4,Sales Executive,3,Divorced,1305,14289,6,Y,Yes,16,3,4,80,0,31,2,4,12,12,12,12
53,No,Travel_Frequently,1426,Research & Development,17,2,Technical Degree,1,355,1,Male,35,4,2,Healthcare Representative,2,Single,18479,20816,4,Y,No,23,3,1,80,3,39,5,4,39,7,4,10
37,No,Travel_Rarely,426,Sales,29,2,Life Sciences,1,356,1,Male,94,3,2,Laboratory Technician,3,Single,6203,18588,3,Y,No,25,3,1,80,1,20,1,3,20,9,9,4
18,No,Travel_Frequently,253,Sales,2,4,Other,1,357,2,Male,87,4,4,Laboratory Technician,4,Married,6814,23665,1,Y,No,23,4,3,80,1,22,6,1,22,6,15,7
25,No,Travel_Rarely,651,Human Resources,19,3,Human Resources,1,358,4,Female,35,3,5,Sales Executive,3,Single,13806,3812,6,Y,Yes,14,3,2,80,1,40,2,4,40,18,5,3
33,Yes,Travel_Rarely,504,Sales,19,4,Other,1,359,2,Male,94,2,2,Manufacturing Director,1,Married,17888,24994,2,Y,Yes,20,3,2,80,1,32,6,2,32,0,1,11
31,No,Travel_Rarely,561,Research & Development,24,3,Other,1,360,4,Female,63,3,2,Laboratory Technician,2,Married,4004,2219,6,Y,No,22,3,1,80,3,28,0,3,8,1,6,5
29,No,Travel_Rarely,231,Research & Development,7,3,Other,1,361,3,Male,85,3,2,Sales Executive,2,Divorced,17486,18140,9,Y,No,21,3,2,80,1,28,3,4,28,2,0,7
40,No,Travel_Rarely,890,Sales,22,5,Other,1,362,2,Female,32,4,5,Research Scientist,1,Married,13921,26931,6,Y,No,13,3,3,80,1,35,4,4,31,13,10,3
32,No,Travel_Rarely,973,Sales,10,2,Technical Degree,1,363,2,Male,71,4,1,Laboratory Technician,1,Married,7402,21412,1,Y,No,19,3,1,80,1,32,0,4,10,10,7,9
45,No,Travel_Rarely,183,Research & Development,10,2,Life Sciences,1,364,4,Male,91,2,4,Research Director,1,Divorced,1729,8011,6,Y,No,15,4,2,80,1,35,2,1,35,13,13,10
51,No,Travel_Rarely,853,Research & Development,27,3,Life Sciences,1,365,4,Male,35,4,5,Research Director,1,Divorced,7334,12488,5,Y,Yes,20,3,2,80,1,28,2,4,28,7,6,14
19,No,Travel_Rarely,727,Research & Development,20,2,Life Sciences,1,366,2,Male,35,3,3,Research Scientist,4,Married,13563,20082,9,Y,Yes,20,3,4,80,2,30,5,2,30,17,6,4
49,No,Travel_Rarely,1232,Research & Development,9,1,Marketing,1,367,1,Male,92,4,3,Healthcare Representative,3,Married,6108,9684,3,Y,Yes,14,3,2,80,2,36,6,3,13,13,5,2
40,No,Travel_Rarely,320,Human Resources,17,3,Medical,1,368,1,Male,49,4,5,Healthcare Representative,3,Married,13577,4176,4,Y,No,16,3,2,80,1,24,0,1,24,6,9,14
39,No,Travel_Rarely,652,Research & Development,27,2,Other,1,369,1,Female,50,4,5,Manager,4,Married,5035,14228,7,Y,Yes,24,3,4,80,1,25,1,3,25,0,4,1
42,Yes,Travel_Rarely,1491,Research & Development,15,1,Other,1,370,3,Female,31,2,1,Laboratory Technician,1,Divorced,13256,17152,4,Y,Yes,14,4,1,80,3,21,2,2,21,8,8,1
39,No,Travel_Rarely,1270,Research & Development,2,5,Life Sciences,1,371,3,Male,85,2,3,Sales Executive,2,Married,6066,16395,2,Y,No,25,3,1,80,1,19,1,4,8,8,2,7
39,No,Travel_Rarely,211,Research & Development,4,2,Medical,1,372,4,Female,39,1,4,Healthcare Representative,2,Single,18499,7187,1,Y,No,16,3,3,80,0,32,1,1,32,10,13,13
59,No,Travel_Rarely,714,Research & Development,19,1,Other,1,373,3,Female,99,2,2,Sales Executive,2,Single,6314,25621,5,Y,No,20,3,4,80,2,29,6,4,22,18,8,8
23,Yes,Travel_Frequently,1023,Research & Development,17,4,Life Sciences,1,374,1,Female,52,2,2,Sales Executive,1,Single,12923,2378,5,Y,No,18,3,1,80,1,34,3,1,34,5,4,4
32,No,Travel_Rarely,574,Research & Development,5,4,Human Resources,1,375,2,Male,59,2,1,Manufacturing Director,4,Single,7683,7660,6,Y,Yes,18,3,2,80,2,21,0,4,19,6,7,11
60,No,Travel_Rarely,935,Sales,7,1,Life Sciences,1,376,3,Male,66,3,1,Human Resources,4,Single,10572,12851,7,Y,No,22,3,2,80,1,32,0,2,32,14,10,9
54,No,Non-Travel,370,Research & Development,18,3,Technical Degree,1,377,3,Male,84,1,3,Research Scientist,4,Married,16325,10312,3,Y,Yes,16,3,2,80,0,37,1,2,34,5,2,0
50,No,Travel_Frequently,520,Sales,21,3,Life Sciences,1,378,1,Female,78,3,4,Manufacturing Director,3,Single,17226,20752,7,Y,No,11,3,3,80,1,36,3,4,29,8,6,10
25,No,Non-Travel,806,Sales,22,2,Other,1,379,3,Male,63,2,4,Research Scientist,3,Married,3014,6066,0,Y,No,23,3,1,80,2,29,2,2,29,14,9,16
22,No,Travel_Frequently,1490,Sales,27,4,Marketing,1,380,4,Male,73,2,5,Sales Representative,3,Single,13750,15773,5,Y,No,11,3,4,80,2,21,2,4,21,5,3,2
56,No,Travel_Rarely,1403,Research & Development,7,3,Life Sciences,1,381,2,Male,51,1,1,Laboratory Technician,3,Single,15611,13667,5,Y,No,24,4,1,80,2,13,0,1,0,0,0,0
21,No,Travel_Rarely,1406,Research & Development,17,3,Life Sciences,1,382,1,Male,60,1,2,Sales Executive,2,Married,13612,6207,2,Y,No,13,4,4,80,3,14,6,2,14,14,3,14
23,No,Travel_Rarely,139,Sales,7,4,Medical,1,383,4,Female,36,4,2,Research Scientist,2,Divorced,14996,16472,8,Y,No,12,3,4,80,2,24,6,1,24,5,12,5
49,No,Travel_Rarely,288,Research & Development,4,5,Other,1,384,1,Male,50,2,3,Laboratory Technician,4,Married,18156,12422,4,Y,Yes,11,3,1,80,1,23,1,4,19,8,8,12
47,No,Travel_Rarely,1287,Research & Development,8,3,Human Resources,1,385,4,Female,45,2,2,Sales Executive,3,Married,14552,25207,0,Y,No,11,3,2,80,0,9,3,1,6,2,6,3
52,No,Travel_Rarely,1093,Sales,13,1,Medical,1,386,2,Female,49,3,4,Sales Executive,4,Married,10153,26826,6,Y,Yes,22,4,2,80,0,37,3,3,15,13,6,4
57,No,Travel_Rarely,635,Research & Development,4,2,Life Sciences,1,387,2,Male,72,4,4,Manufacturing Director,1,Single,12123,19767,9,Y,No,22,3,4,80,1,40,2,4,22,5,13,14
33,No,Travel_Frequently,1127,Research & Development,6,3,Medical,1,388,4,Male,73,2,1,Research Scientist,3,Married,6700,12467,2,Y,No,22,3,2,80,3,36,2,2,20,3,15,13
30,No,Travel_Frequently,389,Research & Development,25,3,Technical Degree,1,389,4,Female,76,3,3,Healthcare Representative,3,Single,8068,20989,9,Y,Yes,16,3,3,80,1,31,6,2,0,0,0,0
59,No,Travel_Rarely,532,Research & Development,5,5,Human Resources,1,390,4,Male,48,1,2,Sales Executive,4,Married,5488,7814,9,Y,No,17,3,3,80,2,19,4,3,19,15,14,11
47,No,Travel_Frequently,570,Research & Development,12,1,Life Sciences,1,391,4,Male,77,3,1,Manufacturing Director,4,Married,5207,19633,3,Y,Yes,25,3,4,80,3,18,4,4,18,8,5,17
36,No,Travel_Rarely,1304,Sales,4,2,Technical Degree,1,392,4,Male,98,2,5,Laboratory Technician,1,Married,10100,21266,5,Y,No,18,3,2,80,1,37,1,4,5,3,5,5
34,No,Travel_Frequently,1371,Sales,24,3,Marketing,1,393,4,Male,40,3,5,Sales Executive,4,Single,16077,7247,7,Y,Yes,13,3,4,80,3,37,4,4,37,7,10,9
36,No,Travel_Rarely,727,Sales,29,2,Other,1,394,2,Male,58,3,2,Laboratory Technician,3,Married,5214,8320,3,Y,No,11,3,3,80,0,31,3,4,31,7,9,7
45,No,Non-Travel,378,Human Resources,9,4,Other,1,395,4,Male,74,4,2,Sales Executive,2,Single,4650,5070,8,Y,No,15,3,3,80,1,31,4,1,0,0,0,0
43,No,Travel_Rarely,976,Sales,4,3,Human Resources,1,396,3,Male,97,4,2,Manager,1,Single,4552,7345,7,Y,No,18,4,3,80,1,29,0,4,29,7,4,17
54,No,Travel_Rarely,680,Sales,19,3,Technical Degree,1,397,2,Male,65,1,4,Manufacturing Director,1,Married,16433,5593,9,Y,No,22,3,1,80,0,15,0,1,15,5,9,7
43,No,Travel_Rarely,962,Research & Development,24,4,Life Sciences,1,398,1,Female,77,4,2,Laboratory Technician,3,Married,6600,21391,9,Y,Yes,21,3,3,80,3,38,5,1,26,13,12,3
40,No,Travel_Rarely,353,Research & Development,14,5,Other,1,399,2,Male,44,3,5,Sales Executive,2,Single,12842,18681,5,Y,No,24,3,2,80,0,31,2,2,17,13,13,10
26,No,Travel_Rarely,280,Research & Development,5,3,Medical,1,400,1,Female,73,4,2,Research Scientist,4,Married,7125,20300,6,Y,Yes,21,4,1,80,3,17,2,4,12,12,2,4
29,No,Travel_Rarely,780,Sales,18,2,Life Sciences,1,401,1,Male,96,2,3,Laboratory Technician,4,Divorced,1770,12830,7,Y,No,14,3,3,80,1,27,6,1,27,12,10,9
18,Yes,Travel_Rarely,924,Sales,10,1,Life Sciences,1,402,3,Female,69,3,5,Manufacturing Director,2,Single,3416,10727,1,Y,No,12,4,2,80,3,9,1,4,9,9,9,5
18,No,Travel_Rarely,799,Research & Development,25,2,Other,1,403,4,Male,43,3,3,Sales Executive,2,Married,1894,9065,4,Y,No,19,3,3,80,3,17,0,3,13,2,2,3
51,No,Travel_Rarely,665,Sales,19,5,Life Sciences,1,404,4,Female,92,3,5,Sales Executive,3,Single,3652,25903,6,Y,Yes,22,3,2,80,2,28,5,1,28,5,6,17
49,No,Non-Travel,1449,Sales,12,1,Medical,1,405,2,Male,80,2,1,Research Scientist,4,Married,12134,11601,7,Y,Yes,23,3,2,80,2,10,1,2,10,10,10,10
42,Yes,Travel_Rarely,1480,Research & Development,18,2,Medical,1,406,4,Female,87,3,5,Laboratory Technician,3,Single,2477,24260,4,Y,Yes,19,3,3,80,2,26,1,4,26,15,13,6
57,No,Travel_Rarely,779,Research & Development,17,2,Life Sciences,1,407,3,Male,44,4,5,Sales Executive,4,Divorced,14375,15252,2,Y,No,13,3,3,80,0,32,6,2,16,5,9,8
18,No,Travel_Rarely,490,Research & Development,24,4,Life Sciences,1,408,2,Male,94,2,3,Laboratory Technician,4,Married,8024,26404,5,Y,Yes,17,3,1,80,0,6,4,1,2,2,0,2
33,No,Travel_Frequently,1208,Research & Development,11,5,Human Resources,1,409,2,Male,84,3,3,Research Scientist,2,Divorced,7332,24481,4,Y,No,23,3,3,80,2,30,2,1,30,12,3,8
56,No,Travel_Rarely,1440,Research & Development,3,4,Other,1,410,2,Female,39,4,5,Laboratory Technician,3,Single,9944,13202,7,Y,Yes,11,3,2,80,1,20,1,2,20,12,9,3
22,Yes,Non-Travel,311,Sales,23,1,Life Sciences,1,411,4,Female,71,4,5,Research Scientist,2,Divorced,3437,14171,8,Y,Yes,18,3,4,80,1,32,1,4,32,16,13,8
39,No,Travel_Frequently,483,Research & Development,17,4,Other,1,412,4,Male,40,1,4,Manufacturing Director,3,Divorced,12694,6269,8,Y,No,18,3,1,80,1,22,2,1,0,0,0,0
46,No,Travel_Rarely,441,Sales,1,5,Human Resources,1,413,4,Female,45,4,1,Sales Executive,4,Married,13747,26264,5,Y,Yes,23,3,2,80,0,16,6,3,5,5,3,5
20,No,Travel_Rarely,943,Sales,15,3,Medical,1,414,2,Female,48,4,1,Sales Executive,1,Divorced,10317,4953,3,Y,No,13,3,2,80,3,13,2,2,3,3,0,3
29,Yes,Travel_Frequently,1161,Research & Development,28,3,Technical Degree,1,415,2,Female,60,1,2,Laboratory Technician,1,Single,16888,5056,3,Y,No,22,3,4,80,0,21,0,1,21,4,4,5
43,No,Travel_Frequently,519,Sales,9,1,Other,1,416,1,Female,82,1,5,Research Scientist,3,Married,16781,15710,8,Y,Yes,25,3,3,80,2,24,2,4,12,10,12,9
33,No,Travel_Rarely,850,Human Resources,15,3,Medical,1,417,1,Female,37,2,5,Research Scientist,3,Married,11642,19845,3,Y,No,15,3,2,80,3,29,4,1,29,17,0,17
54,No,Travel_Rarely,1292,Sales,28,4,Life Sciences,1,418,4,Male,53,4,5,Manager,2,Married,18747,14951,7,Y,No,14,3,4,80,1,39,0,4,39,3,8,15
39,No,Travel_Frequently,1466,Research & Development,24,1,Other,1,419,2,Female,37,2,5,Sales Representative,4,Divorced,19873,7304,8,Y,Yes,17,4,4,80,0,25,6,4,25,6,7,3
46,Yes,Travel_Rarely,405,Research & Development,28,5,Marketing,1,420,4,Male,77,2,1,Research Scientist,1,Single,12202,5003,4,Y,Yes,21,3,3,80,0,38,5,1,38,3,13,12
31,No,Non-Travel,801,Sales,29,1,Life Sciences,1,421,4,Female,59,3,3,Manager,2,Single,18579,12502,5,Y,No,17,3,4,80,2,38,1,3,38,9,6,4
45,No,Travel_Rarely,968,Sales,3,1,Marketing,1,422,1,Male,87,2,4,Laboratory Technician,3,Single,16290,5499,2,Y,Yes,21,3,4,80,1,31,4,4,6,0,4,6
22,No,Travel_Rarely,636,Research & Development,22,2,Medical,1,423,3,Male,84,2,3,Research Scientist,4,Divorced,5096,18087,4,Y,No,18,3,4,80,0,13,4,2,13,13,3,13
47,No,Travel_Frequently,1235,Research & Development,27,2,Other,1,424,4,Male,91,2,3,Human Resources,2,Divorced,7237,22972,4,Y,No,15,3,4,80,0,28,0,4,25,4,6,15
22,Yes,Travel_Rarely,305,Research & Development,19,1,Medical,1,425,3,Female,77,2,1,Manager,2,Married,3840,17017,1,Y,Yes,23,3,4,80,3,17,1,4,17,16,2,0
29,No,Travel_Rarely,1308,Research & Development,13,3,Life Sciences,1,426,3,Female,33,1,4,Human Resources,3,Married,19141,2914,9,Y,No,21,3,4,80,0,23,0,3,23,2,7,0
33,No,Travel_Rarely,595,Research & Development,12,2,Technical Degree,1,427,2,Male,66,4,5,Sales Executive,4,Married,12064,26180,5,Y,No,15,3,2,80,3,39,3,4,24,8,4,13
43,No,Travel_Rarely,1170,Research & Development,20,5,Medical,1,428,2,Female,37,3,1,Sales Executive,1,Married,14804,9349,8,Y,No,18,3,1,80,0,31,3,1,31,2,4,1
43,No,Travel_Rarely,603,Research & Development,1,4,Life Sciences,1,429,4,Female,30,1,1,Laboratory Technician,2,Single,8561,21140,6,Y,No,15,3,3,80,1,10,0,3,5,2,0,5
38,No,Travel_Rarely,1145,Research & Development,21,2,Marketing,1,430,1,Female,99,3,4,Manufacturing Director,3,Married,15614,17035,7,Y,No,23,3,1,80,2,15,1,4,15,8,12,2
56,Yes,Travel_Rarely,312,Research & Development,17,1,Human Resources,1,431,1,Male,76,3,2,Sales Executive,2,Married,12291,25582,1,Y,Yes,24,3,3,80,1,14,6,1,2,2,2,2
